ENTOLLSTATIONHEX,EntryHour,EntryCount
37010223,0,27
37010223,1,17
37010223,2,12
37010223,3,28
37010223,4,59
37010223,5,128
37010223,6,298
37010223,7,542
37010223,8,606
37010223,9,472
37010223,10,392
37010223,11,325
37010223,12,303
37010223,13,437
37010223,14,437
37010223,15,441
37010223,16,449
37010223,17,410
37010223,18,223
37010223,19,140
37010223,20,120
37010223,21,127
37010223,22,62
37010223,23,43
37010232,0,37
37010232,1,22
37010232,2,35
37010232,3,51
37010232,4,69
37010232,5,116
37010232,6,225
37010232,7,335
37010232,8,403
37010232,9,363
37010232,10,338
37010232,11,245
37010232,12,242
37010232,13,331
37010232,14,402
37010232,15,337
37010232,16,365
37010232,17,321
37010232,18,180
37010232,19,134
37010232,20,132
37010232,21,90
37010232,22,62
37010232,23,42
37010233,0,23
37010233,1,22
37010233,2,22
37010233,3,26
37010233,4,65
37010233,5,72
37010233,6,185
37010233,7,243
37010233,8,292
37010233,9,350
37010233,10,364
37010233,11,296
37010233,12,309
37010233,13,367
37010233,14,317
37010233,15,390
37010233,16,323
37010233,17,305
37010233,18,181
37010233,19,132
37010233,20,109
37010233,21,77
37010233,22,52
37010233,23,39
37010241,0,72
37010241,1,49
37010241,2,42
37010241,3,77
37010241,4,135
37010241,5,339
37010241,6,884
37010241,7,1755
37010241,8,2621
37010241,9,2356
37010241,10,1726
37010241,11,1319
37010241,12,1282
37010241,13,1427
37010241,14,1581
37010241,15,1633
37010241,16,1620
37010241,17,1263
37010241,18,903
37010241,19,515
37010241,20,389
37010241,21,352
37010241,22,205
37010241,23,100
37010242,0,43
37010242,1,37
37010242,2,24
37010242,3,32
37010242,4,46
37010242,5,114
37010242,6,290
37010242,7,581
37010242,8,820
37010242,9,722
37010242,10,603
37010242,11,499
37010242,12,459
37010242,13,547
37010242,14,590
37010242,15,574
37010242,16,674
37010242,17,585
37010242,18,454
37010242,19,318
37010242,20,207
37010242,21,127
37010242,22,120
37010242,23,49
37010243,0,26
37010243,1,33
37010243,2,27
37010243,3,27
37010243,4,56
37010243,5,182
37010243,6,358
37010243,7,749
37010243,8,736
37010243,9,724
37010243,10,679
37010243,11,558
37010243,12,575
37010243,13,701
37010243,14,691
37010243,15,717
37010243,16,784
37010243,17,753
37010243,18,366
37010243,19,218
37010243,20,163
37010243,21,94
37010243,22,69
37010243,23,36
37010244,0,15
37010244,1,9
37010244,2,6
37010244,3,15
37010244,4,23
37010244,5,51
37010244,6,136
37010244,7,225
37010244,8,253
37010244,9,262
37010244,10,287
37010244,11,267
37010244,12,288
37010244,13,270
37010244,14,365
37010244,15,376
37010244,16,408
37010244,17,315
37010244,18,171
37010244,19,127
37010244,20,107
37010244,21,56
37010244,22,39
37010244,23,15
37010245,0,19
37010245,1,12
37010245,2,7
37010245,3,7
37010245,4,13
37010245,5,58
37010245,6,132
37010245,7,232
37010245,8,282
37010245,9,273
37010245,10,225
37010245,11,219
37010245,12,278
37010245,13,344
37010245,14,349
37010245,15,422
37010245,16,426
37010245,17,267
37010245,18,145
37010245,19,117
37010245,20,82
37010245,21,36
37010245,22,34
37010245,23,21
37010246,0,22
37010246,1,13
37010246,2,14
37010246,3,12
37010246,4,30
37010246,5,115
37010246,6,339
37010246,7,601
37010246,8,642
37010246,9,600
37010246,10,473
37010246,11,385
37010246,12,498
37010246,13,559
37010246,14,548
37010246,15,602
37010246,16,524
37010246,17,440
37010246,18,266
37010246,19,174
37010246,20,140
37010246,21,88
37010246,22,66
37010246,23,36
37010413,0,38
37010413,1,34
37010413,2,30
37010413,3,45
37010413,4,67
37010413,5,197
37010413,6,525
37010413,7,1113
37010413,8,1833
37010413,9,1692
37010413,10,1194
37010413,11,1002
37010413,12,1083
37010413,13,1366
37010413,14,1396
37010413,15,1373
37010413,16,1426
37010413,17,1103
37010413,18,743
37010413,19,491
37010413,20,422
37010413,21,378
37010413,22,195
37010413,23,94
37010414,0,125
37010414,1,88
37010414,2,107
37010414,3,87
37010414,4,125
37010414,5,317
37010414,6,500
37010414,7,869
37010414,8,1126
37010414,9,889
37010414,10,721
37010414,11,631
37010414,12,580
37010414,13,707
37010414,14,823
37010414,15,760
37010414,16,762
37010414,17,719
37010414,18,576
37010414,19,404
37010414,20,368
37010414,21,351
37010414,22,238
37010414,23,160
37010415,0,28
37010415,1,21
37010415,2,15
37010415,3,25
37010415,4,54
37010415,5,141
37010415,6,285
37010415,7,347
37010415,8,514
37010415,9,463
37010415,10,434
37010415,11,346
37010415,12,352
37010415,13,352
37010415,14,510
37010415,15,498
37010415,16,531
37010415,17,463
37010415,18,311
37010415,19,226
37010415,20,142
37010415,21,107
37010415,22,60
37010415,23,34
37010416,0,32
37010416,1,17
37010416,2,9
37010416,3,15
37010416,4,48
37010416,5,198
37010416,6,351
37010416,7,398
37010416,8,419
37010416,9,390
37010416,10,301
37010416,11,289
37010416,12,277
37010416,13,301
37010416,14,428
37010416,15,389
37010416,16,402
37010416,17,322
37010416,18,230
37010416,19,165
37010416,20,114
37010416,21,93
37010416,22,49
37010416,23,38
37010421,0,37
37010421,1,14
37010421,2,18
37010421,3,29
37010421,4,40
37010421,5,162
37010421,6,397
37010421,7,574
37010421,8,633
37010421,9,572
37010421,10,523
37010421,11,481
37010421,12,436
37010421,13,664
37010421,14,635
37010421,15,650
37010421,16,767
37010421,17,817
37010421,18,415
37010421,19,262
37010421,20,205
37010421,21,158
37010421,22,115
37010421,23,47
37010422,0,208
37010422,1,91
37010422,2,253
37010422,3,101
37010422,4,175
37010422,5,324
37010422,6,904
37010422,7,870
37010422,8,1014
37010422,9,926
37010422,10,834
37010422,11,735
37010422,12,893
37010422,13,1012
37010422,14,920
37010422,15,940
37010422,16,1203
37010422,17,1497
37010422,18,810
37010422,19,547
37010422,20,433
37010422,21,328
37010422,22,219
37010422,23,223
37010423,0,96
37010423,1,54
37010423,2,41
37010423,3,55
37010423,4,106
37010423,5,313
37010423,6,487
37010423,7,664
37010423,8,636
37010423,9,523
37010423,10,460
37010423,11,378
37010423,12,407
37010423,13,455
37010423,14,518
37010423,15,537
37010423,16,541
37010423,17,606
37010423,18,415
37010423,19,357
37010423,20,330
37010423,21,243
37010423,22,210
37010423,23,121
37010424,0,75
37010424,1,37
37010424,2,43
37010424,3,29
37010424,4,56
37010424,5,71
37010424,6,237
37010424,7,543
37010424,8,593
37010424,9,493
37010424,10,500
37010424,11,464
37010424,12,454
37010424,13,501
37010424,14,594
37010424,15,634
37010424,16,974
37010424,17,1029
37010424,18,526
37010424,19,271
37010424,20,198
37010424,21,142
37010424,22,97
37010424,23,69
37010425,0,28
37010425,1,35
37010425,2,41
37010425,3,45
37010425,4,87
37010425,5,338
37010425,6,839
37010425,7,1070
37010425,8,984
37010425,9,786
37010425,10,646
37010425,11,528
37010425,12,499
37010425,13,671
37010425,14,704
37010425,15,755
37010425,16,729
