HEX,Downstream_HEX,Probability
3C0403,3D5E05,0.006534356102114534
3C0404,3C0405,0.879629228570191
3C0404,3D0415,0.12037077142980898
3C0405,3C0406,0.8788160401468333
3C0405,3D0417,0.12118395985316667
3C0406,3C4305,0.7358076424224285
3C0406,3D4307,0.2641923575775716
3C0414,3D0410,0.5087837081794786
3C0414,3C0403,0.4912162918205214
3C0416,3D040E,0.6793491864831038
3C0416,3C0405,0.3206508135168961
3C0418,3D040D,0.7047139830508474
3C0418,3C0406,0.2952860169491525
3C041A,3C0401,1.0
3C041C,3C0402,0.6826042726347915
3C041C,3D0411,0.31739572736520855
3C0507,3C0517,0.6330631783496848
3C0507,3D0516,0.36693682165031516
3C0509,3D0518,0.634692410393345
3C0509,3C0519,0.36530758960665505
3C050B,3C0510,0.7038706256627784
3C050B,3D051C,0.29612937433722164
3C050D,3C0514,0.8705989110707804
3C050D,3D0512,0.1294010889292196
3C050F,3C0517,0.9044960135170812
3C050F,3D0508,0.09550398648291884
3C0510,3C0514,0.9897800586510264
3C0510,3D050E,0.010219941348973607
3C0514,3C0618,0.8481229375785273
3C0514,3CA01D,0.15187706242147264
3C0517,3C0519,0.8520857814336075
3C0517,3D050A,0.14791421856639247
3C0519,3C051B,0.8133300056483075
3C0519,3C9104,0.18666999435169251
3C051B,3C0510,0.9639539890508704
3C051B,3D050C,0.036046010949129605
3C0601,3C0612,0.5501086956521739
3C0601,3D0619,0.4498913043478261
3C0603,3D0610,0.5360915492957746
3C0603,3C060B,0.4639084507042254
3C060B,3C1B01,0.715375918598078
3C060B,3C6509,0.28462408140192197
3C0612,3C0614,0.9913136336106595
3C0612,3D0617,0.008686366389340474
3C0614,3C0B1F,0.784945940362234
3C0614,3D0B02,0.20669375387370015
3C0614,3C0B19,0.008360305764065835
3C0616,3C0614,0.9498503672803119
3C0616,3D0613,0.05014963271968804
3C0618,3C0612,0.934520076543329
3C0618,3D0602,0.065479923456671
3C0702,3C0703,0.6661372473848514
3C0702,3D071D,0.3338627526151487
3C071E,3D0705,0.6355876041403686
3C071E,3C0703,0.3644123958596314
3C0720,3C0702,1.0
3C0801,3C0802,0.9568096490968753
3C0801,3D1F0D,0.04319035090312472
3C0802,3C0803,0.6224866639310628
3C0802,3D1F1B,0.3775133360689372
3C0803,3C0804,0.7813198272009534
3C0803,3D081E,0.14449575450618204
3C0803,3C0824,0.0741844182928646
3C0804,3C0805,0.8629447833998501
3C0804,3D1F0F,0.13705521660014985
3C0805,3C1F1D,0.9263922952682898
3C0805,3D1F11,0.07360770473171023
3C080B,3D0813,0.5487655401856067
3C080B,3C081A,0.45123445981439325
3C080D,3C0816,0.5628706998813761
3C080D,3D081D,0.43712930011862394
3C080F,3D0821,0.6867403314917127
3C080F,3C0814,0.3132596685082873
3C0811,3C0815,0.5337962962962963
3C0811,3D0819,0.46620370370370373
3C0814,3C0815,0.9527288252176181
3C0814,3D0812,0.047271174782381825
3C0815,3C091F,0.9552109035365997
3C0815,3C8101,0.044789096463400305
3C0816,3C0824,0.5954797047970479
3C0816,3C0804,0.3698784832675913
3C0816,3D0808,0.034641811935360735
3C081A,3C0816,0.9153722025720852
3C081A,3D080E,0.08462779742791479
3C081C,3C081A,0.9531951725376839
3C081C,3D080C,0.046804827462316075
3C0820,3C0814,0.8879665279416019
3C0820,3D0810,0.11203347205839806
3C0824,3C0820,1.0
3C0902,3C0903,0.8557675353528229
3C0902,3D4612,0.14423246464717707
3C0903,3D460E,1.0
3C0909,3D091D,0.5957245691849051
3C0909,3C0916,0.40427543081509487
3C090B,3D9402,0.5965892805961593
3C090B,3C091E,0.29745867965988343
3C090B,3D091A,0.1059520397439572
3C090D,3D0921,0.732753449310138
3C090D,3C0924,0.26724655068986203
3C090F,3E0911,0.6784063394232885
3C090F,3D0917,0.3215936605767114
3C0916,3C091E,0.7046259455205282
3C0916,3D9402,0.2481745441825893
3C0916,3D090C,0.04719951029688251
3C091C,3E0911,0.9636281135815442
3C091C,3D0910,0.036371886418455804
3C091E,3C0920,0.9169498020181377
3C091E,3C8201,0.061540426618980716
3C091E,3D092B,0.021509771362881593
3C091F,3C0916,0.8230585935113338
3C091F,3D090A,0.17694140648866621
3C0920,3C0924,0.7374704208875064
3C0920,3D090E,0.2625295791124937
3C0924,3C0926,0.9851505744551476
3C0924,3D092D,0.014849425544852305
3C0926,3C0928,0.9727131782945736
3C0926,3D0923,0.027286821705426356
3C0928,3C091C,0.8180550197346945
3C0928,3D4C0C,0.1819449802653055
3C092A,3D0922,0.471081307627829
3C092A,3C0920,0.46269907795473597
