MEDIATYPE,EXITFEETYPE,Count,Probability
1,1,3694121,0.6330118398810101
1,4,60554,0.01037632469325035
1,5,22,3.769844159783131e-06
2,3,1973727,0.33821105472528545
2,4,106831,0.018306191883354167
2,5,530,9.081897294022998e-05
