HEX,Downstream_HEX,Probability
3C0114,3D5E0F,9.267840593141798e-05
3C0114,3D6409,9.267840593141798e-05
3C0114,3D1020,9.267840593141798e-05
3C0114,3D9806,9.267840593141798e-05
3C0114,3D840E,9.267840593141798e-05
3C0114,3D1E14,9.267840593141798e-05
3C0114,3C0301,9.267840593141798e-05
3C0114,3D581C,9.267840593141798e-05
3C0114,3D672E,9.267840593141798e-05
3C0114,3C4407,9.267840593141798e-05
3C0114,3D6507,9.267840593141798e-05
3C0114,3D6726,9.267840593141798e-05
3C0114,3D241D,9.267840593141798e-05
3C0114,3DA11B,9.267840593141798e-05
3C0114,3D5111,9.267840593141798e-05
3C0114,3DA10F,9.267840593141798e-05
3C0114,3D0B26,9.267840593141798e-05
3C0114,3D1F0F,9.267840593141798e-05
3C0114,3D6C0F,9.267840593141798e-05
3C0114,3C100E,9.267840593141798e-05
3C0114,3C0107,9.267840593141798e-05
3C0114,3D5013,9.267840593141798e-05
3C0114,3D0E33,9.267840593141798e-05
3C0116,3C0103,0.5955729166666667
3C0116,3D010D,0.34856770833333334
3C0116,3D0113,0.00625
3C0116,3C0104,0.005859375
3C0116,3D0117,0.0048177083333333336
3C0116,3D0111,0.004296875
3C0116,3D010E,0.003515625
3C0116,3D0209,0.0033854166666666668
3C0116,3D8418,0.003125
3C0116,3D0119,0.0026041666666666665
3C0116,3D010F,0.0016927083333333334
3C0116,3D2533,0.0013020833333333333
3C0116,3D030D,0.0009114583333333333
3C0116,3C770E,0.00078125
3C0116,3D7718,0.00078125
3C0116,3D0419,0.0006510416666666666
3C0116,3D6C0D,0.0006510416666666666
3C0116,3D6807,0.0006510416666666666
3C0116,3D1019,0.0005208333333333333
3C0116,3D2A01,0.0005208333333333333
3C0116,3D700B,0.0005208333333333333
3C0116,3D1026,0.0005208333333333333
3C0116,3D8416,0.0005208333333333333
3C0116,3C0105,0.0005208333333333333
3C0116,3D581C,0.0005208333333333333
3C0116,3D101D,0.000390625
3C0116,3D0D1C,0.000390625
3C0116,3D030B,0.000390625
3C0116,3DA11B,0.000390625
3C0116,3D8A04,0.000390625
3C0116,3D2D09,0.00026041666666666666
